date,asset_class_selection,trend_only,asset_class_selection_trend,ff_momentum,value,size,market
1/30/1998,0.016033333,0.01118,0.021446667,0.01,0.0002,-0.0062,0.0058
2/27/1998,0.068421667,0.06492,0.060808333,0.07,0.076,0.0668,0.0742
3/31/1998,0.048981667,0.04644,0.042538333,0.06,0.062,0.0492,0.0515
4/30/1998,0.0138775,0.00962,0.0165675,0.02,0.0119,0.0189,0.0116
5/29/1998,-0.02285,-0.01477,-0.023075,-0.02,0.0052,-0.0484,-0.0267
6/30/1998,0.059325,0.03712,0.05656,0.06,0.0151,-0.0057,0.0359
7/31/1998,-0.008871667,-0.00913,-0.005968333,-0.01,-0.041,-0.0672,-0.0206
8/31/1998,-0.141421667,-0.12883,-0.123098333,-0.15,-0.1439,-0.2152,-0.1565
9/30/1998,0.0608025,0.05968,0.0543375,0.06,0.0598,0.0471,0.0661
10/30/1998,0.07740875,0.02355,0.0204975,0.07,0.0482,0.0265,0.0745
11/30/1998,0.06307125,0.01958,0.0199075,0.06,0.0465,0.0777,0.0641
12/31/1998,0.06656875,0.02015,0.0220775,0.07,0.0341,0.0375,0.0654
1/29/1999,0.0504,0.03824,0.046593333,0.03,0.0061,0.0419,0.0385
2/26/1999,-0.0373525,-0.02903,-0.036345833,-0.04,-0.0381,-0.0711,-0.0373
3/31/1999,0.0445875,0.03672,0.0411075,0.03,0.0065,-0.0191,0.0388
4/30/1999,0.0131575,0.0352,0.0081925,0.05,0.0738,0.0967,0.047
5/28/1999,-0.024225,-0.02192,-0.020815,-0.02,0.0088,0.0192,-0.0212
6/30/1999,0.066865,0.04985,0.06262,0.05,0.0152,0.0704,0.0517
7/30/1999,-0.026165625,-0.02844,-0.022090625,-0.03,-0.034,0.0046,-0.0309
8/31/1999,-0.019580625,-0.00437,-0.012268125,-0.01,-0.0261,-0.0354,-0.0099
9/30/1999,-0.0220725,-0.02342,-0.02008,-0.01,-0.0445,-0.008,-0.0242
10/29/1999,0.062038333,0.05736,0.050171667,0.07,0.018,-0.0076,0.0652
11/30/1999,0.057195417,0.01837,0.052824583,0.03,0.0177,0.1017,0.0373
12/31/1999,0.102999583,0.05271,0.093140417,0.06,0.0426,0.1256,0.0816
1/31/2000,-0.026801667,-0.04576,-0.025801667,-0.04,-0.0383,0.0406,-0.0433
2/29/2000,0.143488333,-0.01605,0.121555,0.03,0.0195,0.2423,0.0288
3/31/2000,0.000913333,0.08909,0.005556667,0.08,0.0672,-0.0885,0.0567
4/28/2000,-0.061985,-0.02719,-0.058788333,-0.06,-0.0003,-0.1409,-0.0594
5/31/2000,-0.051913333,-0.01835,-0.04791,-0.04,-0.0288,-0.086,-0.0392
6/30/2000,0.07659,0.02417,0.070556667,0.04,-0.0083,0.1754,0.0504
7/31/2000,0.0073355,-0.01333,0.0052845,0,0.0327,-0.0173,-0.0203
8/31/2000,0.05949875,0.05722,0.04974125,0.07,0.0779,0.0594,0.0753
9/29/2000,-0.007118,-0.04655,-0.001172,-0.03,-0.0039,-0.0354,-0.0494
10/31/2000,-0.016129,-0.0032,-0.018681,-0.03,0.0097,-0.0636,-0.022
11/30/2000,-0.0874805,-0.06949,-0.0842795,-0.11,-0.021,-0.0966,-0.1021
12/29/2000,0.0647185,0.00617,0.0520015,0.02,0.0874,0.025,0.0169
1/31/2001,0.015805,0.02192,0.013168,-0.04,0.0201,0.1374,0.0367
2/28/2001,-0.041152,-0.02183,-0.005478,-0.04,0.0109,-0.0483,-0.0967
3/30/2001,-0.041187,-0.0143,-0.007478,-0.04,-0.0137,-0.0306,-0.0684
4/30/2001,0.065806667,0.02275,0.018225,0.04,0.0498,0.0625,0.0833
5/31/2001,0.016860833,0.00621,0.008443333,0.03,0.0501,0.0836,0.0104
6/29/2001,-0.003545833,-0.00519,2.33E-05,-0.01,0.0062,0.0488,-0.0166
7/31/2001,-0.030113929,0.01078,0.005246429,0,0.0054,-0.0444,-0.0183
8/31/2001,-0.033981429,-0.01199,-0.001438571,-0.03,-0.058,-0.0368,-0.0615
9/28/2001,-0.106869286,-0.01374,-0.018935714,-0.06,-0.0997,-0.1398,-0.0897
10/31/2001,0.022691667,0.01651,0.016826667,0,-0.0269,0.063,0.0268
11/30/2001,0.067908333,0.01608,0.011251667,0.05,0.1081,0.0765,0.0771
12/31/2001,0.03632,-0.00072,0.006883333,0.03,0.0421,0.0743,0.0176
1/31/2002,-0.0071075,-0.01243,-0.0037375,0,-0.0048,0.0031,-0.013
2/28/2002,-0.023734375,-0.01641,-0.020781875,0,-0.0334,-0.0402,-0.0216
3/28/2002,0.05985625,0.03251,0.05137625,0.05,0.0655,0.0865,0.0437
4/30/2002,-0.017619833,-0.05275,-0.013789167,0,-0.031,0.0165,-0.0505
5/31/2002,-0.016097167,-0.00578,-0.010985833,-0.01,-0.0225,-0.0325,-0.0124
6/28/2002,-0.053274833,-0.06321,-0.045154167,-0.04,-0.0831,-0.0259,-0.0708
7/31/2002,-0.108506333,-0.015,-0.022308667,-0.08,-0.1379,-0.149,-0.0803
8/30/2002,0.004735333,0.01038,0.010114667,0.02,0.0391,-0.0099,0.0064
9/30/2002,-0.0884965,-0.02323,-0.015426,-0.06,-0.0917,-0.0775,-0.1021
10/31/2002,0.058869,0.02598,0.014736,0.05,0.0457,0.0348,0.0798
11/29/2002,0.0568135,0.01683,0.015054,0.01,0.0878,0.1121,0.0608
12/31/2002,-0.03978525,-0.00564,0.002579,-0.02,-0.062,-0.0578,-0.0565
1/31/2003,-0.0202575,-0.00716,-0.0045,-0.02,-0.0456,-0.0137,-0.0247
2/28/2003,-0.0136925,0.00327,0.00438,-0.02,-0.0427,-0.0286,-0.0179
3/31/2003,0.0070625,0.00333,0.00071,0.02,-0.0098,0.0111,0.0119
4/30/2003,0.06894,0.02906,0.02346,0.06,0.1107,0.1,0.0832
5/30/2003,0.0720425,0.02449,0.030235,0.05,0.0843,0.128,0.0614
6/30/2003,0.012028,0.00398,0.003582667,0.01,0.0158,0.0409,0.0152
7/31/2003,0.04676,0.01343,0.04156,0.02,0.0217,0.0821,0.0242
8/29/2003,0.045430714,0.01798,0.044046429,0.02,0.0478,0.0497,0.0241
9/30/2003,-0.013921071,-0.00733,-0.008604643,-0.02,-0.0263,0.0055,-0.0116
10/31/2003,0.074508571,0.05024,0.063177143,0.09,0.0747,0.0908,0.0615
11/28/2003,0.027827857,0.00809,0.024710714,0.02,0.0315,0.0411,0.0142
12/31/2003,0.032596571,0.04812,0.032627143,0.01,0.0598,0.0243,0.0437
1/30/2004,0.033482143,0.01721,0.030529286,0.03,0.034,0.0628,0.0222
2/27/2004,0.015805714,0.01346,0.014971429,0.01,0.0205,0.0012,0.0146
3/31/2004,0.004298571,-0.01294,0.005547143,-0.01,-0.0036,-0.0021,-0.0123
4/30/2004,-0.040320625,-0.01628,-0.040553125,-0.05,-0.036,-0.0481,-0.0175
5/28/2004,0.01811125,0.01198,0.01572875,0.02,0.0103,0.0033,0.0123
6/30/2004,0.0304125,0.01799,0.027585,0.04,0.0323,0.0416,0.0194
7/30/2004,-0.045483333,-0.02892,-0.037496667,-0.07,-0.0205,-0.0788,-0.0396
8/31/2004,0.001334222,0.00524,0.003591111,-0.01,0,-0.011,0.0019
9/30/2004,0.029769444,0.00989,0.026547222,0.06,0.0273,0.0493,0.0171
10/29/2004,0.019372,0.0145,0.018204667,0.01,0.0203,0.02,0.0154
11/30/2004,0.0611025,0.03581,0.054200833,0.07,0.0662,0.0915,0.0469
12/31/2004,0.0329255,0.03129,0.029207833,0.02,0.0372,0.045,0.0359
1/31/2005,-0.031192857,-0.02162,-0.027049048,-0.02,-0.0216,-0.0413,-0.026
2/28/2005,0.028837143,0.01838,0.030050952,0.05,0.0302,0.0105,0.0205
3/31/2005,-0.020153214,-0.01631,-0.019730595,-0.01,-0.0053,-0.0342,-0.0176
4/29/2005,-0.030287857,-0.01596,-0.026734048,-0.04,-0.0321,-0.0636,-0.024
5/31/2005,0.039722857,0.02948,0.033879048,0.04,0.0416,0.0611,0.0389
6/30/2005,0.020873571,0.00166,0.021345476,0.03,0.0303,0.0433,0.008
7/29/2005,0.0529065,0.03277,0.0477925,0.05,0.0434,0.0726,0.0416
8/31/2005,-0.0092875,-0.00712,-0.0054775,0.01,0,-0.0144,-0.0092
9/30/2005,0.012110833,0.00655,0.012864167,0.03,0.0159,0.0047,0.0078
10/31/2005,-0.030051429,-0.01564,-0.02873619,-0.04,-0.0211,-0.0297,-0.0175
11/30/2005,0.04574,0.03441,0.041893333,0.04,0.0317,0.0469,0.0392
12/30/2005,0.005866429,0.00105,0.008377857,0.01,0.0013,0.0038,0.0007
1/31/2006,0.056195,0.02397,0.054486667,0.06,0.0503,0.0935,0.0339
2/28/2006,-0.0014225,0.00266,-0.0026775,-0.01,-0.0072,0.0008,0.0004
3/31/2006,0.026004167,0.01055,0.023244167,0.03,0.0215,0.0495,0.0183
4/28/2006,0.0112275,0.0121,0.0134625,0.01,0.0293,0.0056,0.0109
5/31/2006,-0.040366786,-0.026,-0.035136071,-0.05,-0.0211,-0.0548,-0.0314
6/30/2006,0.003922857,0.00143,0.003882381,0,0.008,-0.0053,0.0005
7/31/2006,-0.003635833,0.01068,0.009928333,-0.02,0.0082,-0.0376,-0.0038
8/31/2006,0.021841667,0.01659,0.014728333,0,0.009,0.0307,0.0245
9/29/2006,0.01248625,0.01306,0.0074475,0.02,0.0218,0.0088,0.0225
10/31/2006,0.037234,0.02995,0.033656,0.0383,0.0449,0.0586,0.0364
11/30/2006,0.0264665,0.01812,0.0270835,0.0237,0.0186,0.0248,0.0213
12/29/2006,0.0111815,0.01223,0.0089585,0.0096,0.0332,0.0116,0.0127
1/31/2007,0.021470833,0.01362,0.019075833,0.0229,0.0178,0.0146,0.0184
2/28/2007,-0.008343889,-0.01631,-0.006042778,-0.0228,-0.0144,-0.0054,-0.0158
3/30/2007,0.011063056,0.01029,0.010990278,0.0235,0.0109,0.0085,0.0111
4/30/2007,0.02979375,0.04035,0.02713625,0.0349,0.0311,0.0167,0.0393
5/31/2007,0.034881964,0.03078,0.027475179,0.0388,0.0402,0.0308,0.0365
6/29/2007,-0.018265179,-0.01513,-0.016109107,-0.0154,-0.0207,-0.0058,-0.0156
7/31/2007,-0.03223875,-0.02711,-0.02258125,-0.0252,-0.0552,-0.0671,-0.0333
8/31/2007,0.008080417,0.01468,0.007274583,0.0187,-0.0026,0.0076,0.0134
9/28/2007,0.03810625,0.03442,0.03946875,0.0549,0.0301,0.0124,0.0354
10/31/2007,0.028395,0.01512,0.030011,0.0415,0.0097,0.016,0.0212
11/30/2007,-0.046206,-0.03588,-0.0387,-0.043,-0.0536,-0.0827,-0.0449
12/31/2007,0.001851,-0.00589,0.005245,0.0193,-0.0046,-0.0055,-0.006
1/31/2008,-0.073200833,-0.00568,-0.009188333,-0.0896,-0.043,-0.0751,-0.0615
2/29/2008,-0.013293333,-0.00842,-0.000113333,-0.0095,-0.0451,-0.0353,-0.0296
3/31/2008,-0.011378333,0.00144,-0.00169,0.0045,-0.0091,-0.0053,-0.0076
4/30/2008,0.05857475,0.013,0.014679,0.0552,0.0479,0.0208,0.0478
5/30/2008,0.03182225,-0.00016,0.004789,0.0329,0.0194,0.0418,0.0204
6/30/2008,-0.06747325,-0.02634,-0.018853,-0.053,-0.1067,-0.0858,-0.0827
7/31/2008,-0.004064286,-0.00252,-0.003212381,-0.0349,0.0678,0.044,-0.0062
8/29/2008,0.017636786,0.0103,0.008274048,0.0042,0.0202,0.0382,0.0166
9/30/2008,-0.0988575,-0.03352,-0.035661667,-0.0942,-0.0291,-0.0801,-0.0909
10/31/2008,-0.202250714,-0.0629,-0.073564286,-0.1537,-0.2179,-0.2092,-0.1715
11/28/2008,-0.105297143,-0.00369,-0.01644619,-0.0605,-0.1531,-0.1298,-0.0783
12/31/2008,0.048349286,0.02306,0.037069048,0.0074,0.0199,0.0496,0.0174
1/30/2009,-0.070738333,-0.02683,-0.017556667,-0.0776,-0.1831,-0.108,-0.0812
2/27/2009,-0.101295,-0.03342,-0.029583333,-0.0875,-0.1616,-0.1231,-0.1009
3/31/2009,0.078593333,0.03573,0.029493333,0.0695,0.1288,0.0957,0.0897
4/30/2009,0.115811,0.03326,0.035902,0.0428,0.1765,0.1644,0.102
5/29/2009,0.055065,0.0216,0.024006,0.0245,0.0485,0.0415,0.0521
6/30/2009,0.007761,0.00291,0.003766,0.0189,0.0038,0.037,0.0044
7/31/2009,0.080641071,0.06941,0.073244643,0.0619,0.1063,0.1046,0.0773
8/31/2009,0.038214643,0.03341,0.035543452,0.017,0.096,0.0438,0.0334
9/30/2009,0.051054286,0.03446,0.047931905,0.0348,0.0501,0.0717,0.0409
10/30/2009,-0.041565179,-0.01611,-0.033499107,-0.0202,-0.07,-0.0822,-0.0259
11/30/2009,0.047040536,0.05528,0.043472321,0.0545,0.0397,0.0239,0.0556
12/31/2009,0.051327679,0.016,0.044276607,0.0495,0.0309,0.0885,0.0276
1/29/2010,-0.036526167,-0.03092,-0.032780833,-0.0631,-0.0403,-0.0311,-0.0336
2/26/2010,0.038709833,0.02828,0.033859167,0.0602,0.0584,0.0502,0.034
3/31/2010,0.064237833,0.05421,0.056799167,0.0966,0.0797,0.0827,0.0632
4/30/2010,0.040316875,0.01504,0.037779375,0.0481,0.0312,0.0745,0.0201
5/28/2010,-0.074045625,-0.07113,-0.064583125,-0.0841,-0.0841,-0.0811,-0.0788
6/30/2010,-0.065006875,-0.04578,-0.056349375,-0.079,-0.0912,-0.0827,-0.0555
7/30/2010,0.065414286,0.02831,0.025102381,0.087,0.0605,0.0637,0.0694
8/31/2010,-0.049641429,-0.00786,-0.006435238,-0.0473,-0.0659,-0.0848,-0.0476
9/30/2010,0.104424286,0.02823,0.030742381,0.114,0.0743,0.1219,0.0955
10/29/2010,0.037934167,0.03497,0.034489167,0.0403,0.0104,0.0479,0.0389
11/30/2010,0.0071675,-0.00039,0.004259167,0.0256,-0.0042,0.0372,0.0061
12/31/2010,0.0667375,0.05917,0.0581075,0.0563,0.1,0.0904,0.0683
1/31/2011,0.012087143,0.02164,0.012624286,0.0108,0.0254,-0.0061,0.02
2/28/2011,0.045300179,0.03097,0.041604107,0.0425,0.0454,0.0521,0.035
3/31/2011,0.015163929,0.00043,0.011510357,0.015,-0.0099,0.0293,0.0046
4/29/2011,0.028794375,0.02779,0.027683542,0.0285,0.0109,0.0142,0.029
5/31/2011,-0.012679375,-0.00908,-0.010621875,-0.0185,-0.0291,-0.0295,-0.0127
6/30/2011,-0.021994375,-0.01512,-0.020503542,-0.0111,-0.0211,-0.024,-0.0175
7/29/2011,-0.022821429,0.00252,0.004411429,-0.0252,-0.0432,-0.0326,-0.0236
8/31/2011,-0.061157857,-0.00887,-0.008167143,-0.0719,-0.0833,-0.1035,-0.0598
9/30/2011,-0.094112143,-0.02109,-0.028562857,-0.0991,-0.0955,-0.1119,-0.0759
10/31/2011,0.1059425,0.03433,0.032715,0.1138,0.1205,0.1427,0.1135
11/30/2011,-0.00280125,-0.00115,-0.0016975,0.0038,-0.0227,-0.0102,-0.0028
12/30/2011,0.00353,0.00838,0.00518,0.0057,0.0159,0.0047,0.0074
1/31/2012,0.062144167,0.04114,0.057805833,0.0288,0.0558,0.0812,0.0505
2/29/2012,0.03891875,0.03891,0.03541625,0.0442,0.0519,0.0242,0.0442
3/30/2012,0.022035833,0.02942,0.016654167,0.037,0.0495,0.0299,0.0311
4/30/2012,-0.008655625,-0.00486,-0.007703125,0.0014,-0.0182,-0.0193,-0.0085
5/31/2012,-0.06852875,-0.05369,-0.06398125,-0.0439,-0.069,-0.0694,-0.0618
6/29/2012,0.03836125,0.03718,0.03434625,0.0392,0.0487,0.0599,0.0389
7/31/2012,0.012387917,0.01061,0.010090833,0.0138,-0.0064,-0.0201,0.0079
8/31/2012,0.0243525,0.00801,0.008365,0.0174,0.0453,0.0297,0.0256
9/28/2012,0.023709583,0.00949,0.009074167,0.0269,0.0422,0.0481,0.0274
10/31/2012,-0.018653889,-0.01661,-0.018229444,-0.0265,0.0128,-0.0309,-0.0175
11/30/2012,0.007806944,0.00536,0.006089722,0.0112,-0.0015,0.0063,0.0079
12/31/2012,0.020874583,0.00818,0.017505417,0.0073,0.0494,0.0359,0.0119
1/31/2013,0.056355,0.04621,0.047515,0.0448,0.0728,0.0613,0.0557
2/28/2013,0.009354643,0.01266,0.005726786,0.017,0.0145,0.011,0.0129
3/28/2013,0.036531607,0.03388,0.030206964,0.0469,0.0413,0.0502,0.0403
4/30/2013,0.008666875,0.01797,0.008844375,0.0125,0.018,-0.0034,0.0155
5/31/2013,0.027985625,0.0198,0.022948125,0.0283,0.068,0.059,0.028
6/28/2013,-0.01003625,-0.01318,-0.01073625,-0.0155,-0.0164,0.0083,-0.012
7/31/2013,0.06307875,0.04599,0.05879375,0.0714,0.0648,0.0795,0.0565
8/30/2013,-0.03078125,-0.02652,-0.02862625,-0.0308,-0.043,-0.0298,-0.0271
9/30/2013,0.045685625,0.02927,0.040343125,0.0543,0.0274,0.0684,0.0377
10/31/2013,0.034456286,0.04204,0.031288571,0.0363,0.0387,0.0218,0.0418
11/29/2013,0.024660429,0.02724,0.019697857,0.0327,0.0439,0.0501,0.0312
12/31/2013,0.023362571,0.0222,0.018467143,0.0306,0.0201,0.0223,0.0281
1/31/2014,-0.0252685,-0.03001,-0.0183215,-0.0201,-0.0375,-0.017,-0.0332
2/28/2014,0.0488955,0.0415,0.0451545,0.0598,0.0344,0.0479,0.0465
3/31/2014,-0.004138,0.00726,-0.004452,-0.0186,0.0407,-0.0027,0.0043
4/30/2014,-0.010247143,0.00731,-0.005914286,-0.0219,-0.01,-0.0501,-0.0019
5/30/2014,0.021592143,0.02207,0.021485952,0.031,0.0111,-0.0063,0.0206
6/30/2014,0.03436,0.01868,0.029333333,0.033,0.0321,0.0576,0.0261
7/31/2014,-0.019034167,-0.01276,-0.0154525,-0.0206,-0.027,-0.0682,-0.0204
8/29/2014,0.0417275,0.03677,0.036544167,0.0442,0.0439,0.044,0.0424
9/30/2014,-0.0266425,-0.01299,-0.0265475,-0.0192,-0.0243,-0.0575,-0.0197
10/31/2014,0.030355,0.02276,0.03027,0.0254,0.0193,0.0568,0.0252
11/28/2014,0.025692917,0.02476,0.023387083,0.0318,0.0027,-0.0026,0.0255
12/31/2014,-0.002134583,-0.0024,-0.003720417,-0.0008,0.0214,0.0454,-0.0006
1/30/2015,-0.01452875,-0.02561,-0.00766375,-0.0225,-0.0622,-0.0433,-0.0311
2/27/2015,0.05590875,0.05123,0.04637375,0.0535,0.0539,0.0655,0.0613
3/31/2015,-0.00633875,-0.01377,-0.004537083,-0.0075,-0.0098,0.0166,-0.0112
4/30/2015,-0.007530833,0.00863,-0.005329167,-0.0082,0.0128,-0.0231,0.0059
5/29/2015,0.021985,0.01161,0.02173,0.0301,0.0092,0.0248,0.0136
6/30/2015,-0.011029167,-0.01812,-0.012090833,-0.0069,-0.0118,0.0229,-0.0153
7/31/2015,0.017978,0.01935,0.017395333,0.0338,-0.0062,-0.039,0.0154
8/31/2015,-0.062838,-0.0543,-0.057548667,-0.0647,-0.0612,-0.0526,-0.0604
9/30/2015,-0.03774,-0.02158,-0.03396,-0.0287,-0.0417,-0.0629,-0.0308
10/30/2015,0.07166975,0.02497,0.0207145,0.0714,0.0627,0.0567,0.0775
11/30/2015,-0.00054025,-0.00057,-0.0026955,0.0098,0.0182,0.0381,0.0056
12/31/2015,-0.01859675,-0.00642,-0.0059085,-0.009,-0.0389,-0.051,-0.0216
1/29/2016,-0.0689405,-0.00613,-0.010561,-0.0584,-0.0783,-0.1046,-0.0576
2/29/2016,-0.0032445,0.00273,0.001691,-0.0142,-0.0181,-0.0004,-0.0005
3/31/2016,0.078406,0.0244,0.028882,0.0581,0.0827,0.0718,0.0698
4/29/2016,0.00375,0.00374,0.000883333,0.0007,0.0449,0.0342,0.0093
5/31/2016,0.015676667,0.01617,0.012936667,0.0195,0.0059,0.0128,0.0179
6/30/2016,0.009486667,0.00357,0.014306667,0.0185,-0.0217,0.0018,-0.0003
7/29/2016,0.043971786,0.03348,0.039341071,0.0302,0.0396,0.0616,0.0397
8/31/2016,0.003952321,0.00113,0.001813393,-0.0077,0.0372,0.0237,0.0052
9/30/2016,0.004451964,0.00035,0.004775179,0.0078,-0.0012,0.0341,0.0027
10/31/2016,-0.029469444,-0.01675,-0.024483889,-0.032,0.0045,-0.0589,-0.02
11/30/2016,0.059613889,0.03158,0.046022778,0.0359,0.1265,0.126,0.0487
12/30/2016,0.018222778,0.01786,0.015503889,0.0119,0.0359,0.0353,0.0184
